,pricing,size,address,link
134,"$3,999,999","8 bds10 ba5,700 sqft - Apartment for sale","1325 Prospect Pl #A, Brooklyn, NY 11213",https://www.zillow.com/homedetails/1325-Prospect-Pl-A-Brooklyn-NY-11213/2067950125_zpid/
135,"$1,950,000","-- bds4 ba3,000 sqft - Multi-family home for sale","1735 71st St, Brooklyn, NY 11204",https://www.zillow.com/homedetails/1735-71st-St-Brooklyn-NY-11204/30703394_zpid/
136,"$11,850,000","5 bds5 ba6,000 sqft - Townhouse for sale","104 Willow St, Brooklyn, NY 11201",https://www.zillow.com/homedetails/104-Willow-St-Brooklyn-NY-11201/30567435_zpid/
137,"$399,000",Studio 1 ba-- sqft - Condo for sale,"55 Eastern Pkwy APT 6F, Brooklyn, NY 11238",https://www.zillow.com/homedetails/55-Eastern-Pkwy-APT-6F-Brooklyn-NY-11238/245052467_zpid/
138,"$2,750,000","5 bds3 ba2,650 sqft - Townhouse for sale","48 Dikeman St, Brooklyn, NY 11231",https://www.zillow.com/homedetails/48-Dikeman-St-Brooklyn-NY-11231/30573444_zpid/
139,"$260,000",2 bds1 ba850 sqft - Condo for sale,"5818 Avenue T #155D, Brooklyn, NY 11234",https://www.zillow.com/homedetails/5818-Avenue-T-155D-Brooklyn-NY-11234/114409388_zpid/
140,"$500,000",1 bd1 ba620 sqft - Condo for sale,"893 Myrtle Ave APT 2B, Brooklyn, NY 11206",https://www.zillow.com/homedetails/893-Myrtle-Ave-APT-2B-Brooklyn-NY-11206/83049025_zpid/
141,"$4,295,000","4 bds3 ba2,461 sqft - Condo for sale","256 N 9th St PENTHOUSE 1, Brooklyn, NY 11211",https://www.zillow.com/homedetails/256-N-9th-St-PENTHOUSE-1-Brooklyn-NY-11211/2061508771_zpid/
142,"$670,000","1 bd1 ba448,000 sqft - Condo for sale","345 Clinton Ave APT 4A, Brooklyn, NY 11238",https://www.zillow.com/homedetails/345-Clinton-Ave-APT-4A-Brooklyn-NY-11238/245000836_zpid/
143,"$950,000","3 bds2 ba1,328 sqft - House for sale","1120 E 15th St, Brooklyn, NY 11230",https://www.zillow.com/homedetails/1120-E-15th-St-Brooklyn-NY-11230/30724998_zpid/
144,"$1,175,000",3 bds2 ba967 sqft - Condo for sale,"539 Hart St, Brooklyn, NY 11221",https://www.zillow.com/homedetails/539-Hart-St-Brooklyn-NY-11221/30625434_zpid/
